service_id,date,exception_type
090-4-1215102025-PQB#F,20251008,2
090-4-1215102025-PQB#F,20251009,2
090-4-1215102025-PQB#F,20251015,2
090-4-1215102025-PQB#F,20251016,2
096-1-0330062025-GRJ#WIW,20250619,2
096-1-0330082025-GRJ#WIW,20250815,2
096-11-0530062025-GRJ#WIW,20250616,2
096-11-0530062025-GRJ#WIW,20250623,2
096-13-0600062025-GRJ#WIW,20250609,2
096-13-0600062025-GRJ#WIW,20250619,2
096-13-0600082025-GRJ#WIW,20250815,2
096-16-0730112025-WIW#GRJ,20251108,2
096-19-0800062025-GRJ#WIW,20250612,2
096-19-0800062025-GRJ#WIW,20250616,2
096-19-0800062025-GRJ#WIW,20250623,2
096-19-0800062025-GRJ#WIW,20250626,2
096-19-0800082025-GRJ#WIW,20250808,2
096-19-0800082025-GRJ#WIW,20250822,2
096-19-0800082025-GRJ#WIW,20250829,2
096-19-0900112025-GRJ#WIW,20251108,2
096-22-0800062025-WIW#GRJ,20250612,2
096-22-0800062025-WIW#GRJ,20250615,2
096-24-0830062025-WIW#GRJ,20250608,2
096-24-0830062025-WIW#GRJ,20250619,2
096-24-0830082025-WIW#GRJ,20250815,2
096-28-0930062025-WIW#GRJ,20250611,2
096-28-0930062025-WIW#GRJ,20250612,2
096-28-0930062025-WIW#GRJ,20250616,2
096-28-0930062025-WIW#GRJ,20250620,2
096-28-0930062025-WIW#GRJ,20250623,2
096-28-0930062025-WIW#GRJ,20250625,2
096-28-0930062025-WIW#GRJ,20250626,2
096-28-0930082025-WIW#GRJ,20250807,2
096-28-0930082025-WIW#GRJ,20250821,2
096-28-0930082025-WIW#GRJ,20250828,2
096-29-1000062025-GRJ#WIW,20250611,2
096-29-1000062025-GRJ#WIW,20250612,2
096-29-1000062025-GRJ#WIW,20250616,2
096-29-1000062025-GRJ#WIW,20250620,2
096-29-1000062025-GRJ#WIW,20250623,2
096-29-1000062025-GRJ#WIW,20250625,2
096-29-1000062025-GRJ#WIW,20250626,2
096-29-1000082025-GRJ#WIW,20250807,2
096-29-1000082025-GRJ#WIW,20250821,2
096-29-1000082025-GRJ#WIW,20250828,2
096-29-1100112025-GRJ#WIW,20251108,2
096-33-1100062025-GRJ#WIW,20250608,2
096-33-1100062025-GRJ#WIW,20250619,2
096-33-1100082025-GRJ#WIW,20250815,2
096-35-1130062025-GRJ#WIW,20250612,2
096-35-1130062025-GRJ#WIW,20250615,2
096-36-1130062025-WIW#GRJ,20250611,2
096-36-1130062025-WIW#GRJ,20250612,2
096-36-1130062025-WIW#GRJ,20250616,2
096-36-1130062025-WIW#GRJ,20250620,2
096-36-1130062025-WIW#GRJ,20250623,2
096-36-1130062025-WIW#GRJ,20250625,2
096-36-1130062025-WIW#GRJ,20250626,2
096-36-1130082025-WIW#GRJ,20250807,2
096-36-1130082025-WIW#GRJ,20250821,2
096-36-1130082025-WIW#GRJ,20250828,2
096-36-1230112025-WIW#GRJ,20251108,2
096-37-1200062025-GRJ#WIW,20250611,2
096-37-1200062025-GRJ#WIW,20250616,2
096-37-1200062025-GRJ#WIW,20250620,2
096-37-1200062025-GRJ#WIW,20250623,2
096-37-1200062025-GRJ#WIW,20250625,2
096-37-1200082025-GRJ#WIW,20250807,2
096-37-1200082025-GRJ#WIW,20250815,2
096-37-1200082025-GRJ#WIW,20250821,2
096-37-1200082025-GRJ#WIW,20250828,2
096-40-1330112025-WIW#GRJ,20251108,2
096-44-1330062025-WIW#GRJ,20250611,2
096-44-1330062025-WIW#GRJ,20250612,2
096-44-1330062025-WIW#GRJ,20250616,2
096-44-1330062025-WIW#GRJ,20250620,2
096-44-1330062025-WIW#GRJ,20250623,2
096-44-1330062025-WIW#GRJ,20250625,2
096-44-1330062025-WIW#GRJ,20250626,2
096-44-1330082025-WIW#GRJ,20250807,2
096-44-1330082025-WIW#GRJ,20250821,2
096-44-1330082025-WIW#GRJ,20250828,2
096-45-1400062025-GRJ#WIW,20250611,2
096-45-1400062025-GRJ#WIW,20250616,2
096-45-1400062025-GRJ#WIW,20250620,2
096-45-1400062025-GRJ#WIW,20250623,2
096-45-1400062025-GRJ#WIW,20250625,2
096-45-1400082025-GRJ#WIW,20250807,2
096-45-1400082025-GRJ#WIW,20250815,2
096-45-1400082025-GRJ#WIW,20250821,2
096-45-1400082025-GRJ#WIW,20250828,2
096-48-1430062025-WIW#GRJ,20250619,2
096-48-1430082025-WIW#GRJ,20250815,2
096-49-1600112025-GRJ#WIW,20251108,2
096-51-1600062025-GRJ#WIW,20250616,2
096-51-1600062025-GRJ#WIW,20250623,2
096-55-1630062025-GRJ#WIW,20250609,2
096-55-1630062025-GRJ#WIW,20250615,2
096-55-1630062025-GRJ#WIW,20250622,2
096-55-1630062025-GRJ#WIW,20250629,2
096-55-1730112025-GRJ#WIW,20251108,2
096-56-1630062025-WIW#GRJ,20250619,2
096-56-1630082025-WIW#GRJ,20250815,2
096-57-1700062025-GRJ#WIW,20250616,2
096-57-1700062025-GRJ#WIW,20250623,2
096-64-1830062025-WIW#GRJ,20250616,2
096-64-1830062025-WIW#GRJ,20250623,2
096-68-1930062025-WIW#GRJ,20250609,2
096-68-1930062025-WIW#GRJ,20250615,2
096-68-1930062025-WIW#GRJ,20250622,2
096-68-1930062025-WIW#GRJ,20250629,2
096-68-2030112025-WIW#GRJ,20251108,2
096-74-2000062025-WIW#GRJ,20250616,2
096-74-2000062025-WIW#GRJ,20250623,2
096-78-2115062025-WIK#GRJ,20250613,2
096-78-2115062025-WIK#GRJ,20250618,2
096-78-2115062025-WIK#GRJ,20250619,2
